Rooms,Area,Floor_Number,Total_Floors,Construction_Year,Is_First_Floor,Is_Last_Floor,Has_Garage,Is_Closed_Complex,District_Encoded,Construction_Type_Encoded,ext_has_gas,ext_has_tep,ext_is_luxury,ext_is_act16,Price
2,70,3,4,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,136597
2,66,3,4,2027,0,0,1,0,56,5,0.0,0.0,1.0,1.0,139335
2,62,6,6,2026,0,1,1,0,56,5,0.0,0.0,0.0,1.0,136500
2,66,1,4,2026,1,0,1,0,56,5,1.0,0.0,1.0,1.0,139545
2,64,4,4,2025,0,1,1,0,56,5,0.0,0.0,0.0,1.0,142370
2,68,6,6,2026,0,1,1,0,56,5,0.0,0.0,0.0,0.0,154999
2,63,3,4,2027,0,0,1,0,56,5,0.0,0.0,1.0,0.0,140500
2,77,3,3,2024,0,1,1,0,56,5,0.0,0.0,0.0,1.0,155000
2,70,2,5,2026,0,0,1,0,56,5,0.0,0.0,0.0,1.0,163000
2,64,4,8,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,165000
2,73,3,7,2025,0,0,1,1,56,5,0.0,0.0,0.0,1.0,152000
2,71,3,4,2026,0,0,1,0,56,5,0.0,0.0,1.0,1.0,145000
2,66,4,4,2026,0,1,1,0,56,5,0.0,0.0,0.0,1.0,131500
2,66,3,6,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,165999
2,72,4,6,2025,0,0,1,0,56,5,0.0,0.0,1.0,0.0,162212
2,125,5,5,2026,0,1,1,0,56,5,0.0,0.0,0.0,0.0,148000
2,64,3,4,2027,0,0,1,0,56,5,0.0,0.0,1.0,1.0,135345
2,57,3,4,2026,0,0,1,1,56,5,0.0,0.0,1.0,1.0,130000
2,67,4,4,2028,0,1,1,1,56,5,0.0,0.0,1.0,0.0,140763
2,103,1,4,2027,1,0,1,0,56,5,0.0,0.0,1.0,0.0,165868
2,151,4,4,2027,0,1,1,0,56,5,0.0,0.0,0.0,0.0,152070
2,96,6,6,2026,0,1,1,0,56,5,0.0,0.0,0.0,0.0,148356
2,57,1,5,2025,1,0,1,0,56,5,1.0,0.0,1.0,1.0,155000
2,77,1,7,2025,1,0,1,0,56,5,0.0,0.0,1.0,1.0,136070
2,57,3,7,2026,0,0,1,0,56,5,0.0,0.0,0.0,1.0,150000
2,73,1,8,2026,1,0,1,0,56,5,1.0,0.0,0.0,1.0,165000
2,72,2,8,2026,0,0,1,0,56,5,1.0,0.0,0.0,1.0,158000
2,77,4,4,2028,0,1,1,1,56,5,0.0,0.0,1.0,0.0,134500
2,157,4,4,2027,0,1,1,0,56,5,0.0,0.0,1.0,0.0,154988
2,60,1,6,2025,1,0,1,0,56,5,1.0,0.0,0.0,1.0,145000
2,63,1,4,2025,1,0,1,1,56,5,0.0,0.0,1.0,1.0,132300
2,64,1,4,2025,1,0,1,0,56,5,0.0,0.0,1.0,1.0,146349
2,75,2,7,2025,0,0,1,0,56,5,0.0,0.0,1.0,1.0,132660
2,72,3,6,2025,0,0,1,1,56,5,0.0,0.0,1.0,0.0,159999
2,100,1,4,2026,1,0,1,0,56,5,1.0,0.0,1.0,0.0,164990
2,64,2,5,2026,0,0,1,0,56,5,1.0,0.0,0.0,1.0,167999
2,63,3,6,2025,0,0,1,1,56,5,1.0,1.0,0.0,1.0,225000
2,62,5,6,2025,0,0,1,1,56,5,1.0,0.0,0.0,1.0,154167
2,67,4,4,2026,0,1,1,0,56,5,0.0,0.0,0.0,1.0,167500
2,63,2,4,2024,0,0,1,0,56,5,0.0,0.0,0.0,1.0,174000
2,73,2,4,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,168500
2,67,3,8,2026,0,0,1,0,56,5,0.0,0.0,0.0,1.0,166000
2,76,2,4,2026,0,0,1,0,56,5,0.0,0.0,1.0,0.0,168283
2,71,2,5,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,179900
2,77,5,9,2025,0,0,1,0,56,5,1.0,0.0,0.0,1.0,183333
2,72,2,4,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,150580
2,75,5,7,2025,0,0,1,1,56,5,0.0,0.0,0.0,1.0,190000
2,67,5,6,2025,0,0,1,0,56,5,0.0,0.0,0.0,1.0,170000
2,78,5,5,2016,0,1,1,0,56,5,1.0,0.0,0.0,1.0,179000
2,64,3,7,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,170000
2,70,2,6,2025,0,0,1,0,56,5,0.0,0.0,0.0,1.0,189900
2,67,4,4,2026,0,1,1,0,56,5,0.0,0.0,1.0,1.0,169000
2,63,6,7,2025,0,0,1,0,56,5,0.0,1.0,0.0,0.0,200000
2,71,5,6,2025,0,0,1,0,56,5,1.0,0.0,1.0,1.0,219799
2,72,6,6,2026,0,1,1,0,56,5,1.0,0.0,0.0,0.0,168000
2,70,2,6,2026,0,0,1,0,56,5,1.0,0.0,0.0,1.0,199990
2,72,6,6,2021,0,1,1,0,56,5,1.0,0.0,0.0,1.0,207000
2,81,5,6,2025,0,0,1,0,56,5,1.0,0.0,0.0,1.0,197000
2,74,1,4,2025,1,0,1,0,56,5,0.0,0.0,1.0,1.0,195780
2,77,2,9,2025,0,0,1,0,56,5,1.0,0.0,0.0,1.0,195000
2,77,5,9,2025,0,0,1,0,56,5,1.0,0.0,0.0,1.0,160645
2,87,1,5,2025,1,0,1,0,56,5,1.0,0.0,1.0,1.0,220000
2,74,6,6,2022,0,1,1,0,56,5,1.0,0.0,0.0,0.0,201000
2,68,4,6,2026,0,0,1,0,56,5,1.0,1.0,1.0,0.0,200000
2,75,1,9,2025,1,0,1,0,56,5,1.0,0.0,0.0,1.0,182000
2,74,3,4,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,185000
2,75,3,6,2025,0,0,1,0,56,5,0.0,1.0,0.0,1.0,170000
2,63,5,6,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,187000
2,71,3,4,2026,0,0,1,0,56,5,0.0,0.0,0.0,0.0,169999
2,64,4,6,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,179000
2,76,3,4,2026,0,0,1,0,56,5,0.0,0.0,1.0,0.0,167322
2,73,2,4,2026,0,0,1,0,56,5,1.0,0.0,0.0,0.0,170000
2,74,4,6,2026,0,0,1,0,56,5,1.0,0.0,0.0,1.0,207900
2,76,1,9,2025,1,0,1,0,56,5,1.0,0.0,0.0,1.0,179083
2,67,4,4,2026,0,1,1,1,56,5,1.0,0.0,0.0,1.0,169000
2,102,2,7,2024,0,0,1,0,57,5,1.0,0.0,0.0,0.0,252000
2,75,10,10,2027,0,1,1,0,57,5,1.0,0.0,1.0,0.0,184000
2,83,3,5,2025,0,0,1,0,57,5,0.0,0.0,0.0,0.0,218000
2,64,6,8,2008,0,0,1,0,57,5,1.0,0.0,0.0,1.0,230000
2,67,2,5,2027,0,0,1,0,57,5,0.0,0.0,0.0,0.0,183244
2,75,2,10,2027,0,0,1,0,57,5,1.0,0.0,1.0,0.0,180000
2,92,3,6,2027,0,0,1,1,57,5,1.0,0.0,0.0,1.0,241689
2,63,4,5,2026,0,0,1,0,57,5,1.0,0.0,1.0,1.0,200000
2,65,3,5,2027,0,0,1,1,57,5,0.0,0.0,0.0,0.0,160550
